data;estado;municipio;confirmados;obitos;populacao
44008;MT;Nova Mutum;373;7;45378
44008;PA;Senador José Porfírio;372;15;11658
44008;AP;Tartarugalzinho;371;1;17315
44008;PA;Jacareacanga;370;7;8239
44008;SE;Nossa Senhora da Glória;370;1;36924
44006;RO;Vilhena;368;4;99854
44008;PA;Ipixuna do Pará;367;9;64053
44008;CE;Chaval;365;7;13069
44008;PA;Rurópolis;365;3;50510
44008;SC;São José;365;6;246586
44008;SP;Fernandópolis;365;3;69116
44008;SP;Votuporanga;365;10;94547
44008;CE;Beberibe;361;20;53573
44008;MA;Olho d'Água das Cunhãs;361;3;19505
44008;AL;Matriz de Camaragibe;360;7;24642
44008;PA;Garrafão do Norte;360;5;26066
44008;AL;Palmeira dos Índios;359;8;73218
44008;MA;Maracaçumé;359;1;21395
44008;AM;Urucará;358;4;16256
44008;RJ;Barra do Piraí;358;25;100374
44008;SP;Tatuí;358;18;121766
44008;MT;Sinop;357;19;142996
44008;PA;Oeiras do Pará;357;21;32512
44008;SC;Tubarão;357;4;105686
44007;RN;São José de Mipibu;357;5;43899
44008;RJ;Santo Antônio de Pádua;356;3;42479
44008;CE;Mombaça;355;18;43797
44008;ES;Marechal Floriano;355;12;16694
44008;MG;Unaí;353;1;84378
44008;PI;Esperantina;353;9;39737
44008;SP;Caraguatatuba;353;22;121532
44008;RJ;Tanguá;352;28;34309
44008;AL;Girau do Ponciano;351;4;40917
44008;BA;Alagoinhas;351;5;151596
44008;PA;Medicilândia;349;4;31597
44008;SC;Brusque;349;3;134723
44003;PB;Cajazeiras;348;10;61993
44008;PI;Luzilândia;347;7;25486
44003;PB;Queimadas;347;1;43967
44008;SC;Camboriú;346;7;82989
44008;BA;Santo Antônio de Jesus;345;4;101512
44008;RJ;Paracambi;345;22;52257
44008;MA;Santa Quitéria do Maranhão;344;6;25642
44008;CE;Paraipaba;343;20;32744
44008;MA;Araioses;342;5;46440
44008;MG;Araguari;342;3;117267
44008;MG;Barbacena;342;5;137313
44008;PA;Marapanim;340;16;28336
44008;PA;São Caetano de Odivelas;338;15;18050
44008;SP;Santa Isabel;338;36;57386
44008;PI;Altos;337;4;40524
44008;MA;Pindaré-Mirim;336;5;32941
44008;SP;Ourinhos;335;4;113542
